row_id,sample,outcome.x,q60_1,q60_2,q60_3,q60_4,q60_5,q60_6,q60_7,q25_new,ideo5,dem_rep_oth,age,female,race_new,faminc_new,educ,trust_in_govt,trust_in_science,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q60_5_rank,q60_6_rank,q60_7_rank,q25_new_rank,avg_perc_rank,covmh,ps,orig_id,id.x,bm,match_id,rankperc,grp,id.y,outcome.y,q22,q59_1,outcome,q60_1a,q60_2a,q60_3a,q60_4a,q60_5a,q60_6a,q60_7a,q60_ingroup,q60_outgroup,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q60_5a_rank,q60_6a_rank,q60_7a_rank,outcome_rank,q22_rank,q59_1_rank,q59_1_rank_inv
57,1,1,5,5,5,5,5,5,5,1,3,3,62,0,1,4,2,2.6666666666666665,4,3,0.5998357739154235,0,4,0.7701702324626922,658.5,838,835,836,475,1125.5,821,302,798.4285714285714,3.2148229976142577,802.3836943526746,3,57,40,57,1,1,57,1,50,4,1,4,4,4,4,4,4,4,NA,NA,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5
626,2,1,5,5,5,5,5,4,5,1,2,3,56,0,1,6,4,3,4,4,0.5496099630491308,0,6,0.5759614623117215,658.5,838,835,836,475,723.5,821,302,741,3.35062581698735,846.5372310047203,2,626,40,625,0,0,626,1,23,4,1,4,4,4,4,4,3,4,NA,NA,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5
60,2,1,4,4,4,4,4,4,4,3,3,3,29,1,1,4,2,2.3333333333333335,5,3,0.42821951553305043,0,4,1.101175422605881,438.5,483.5,411,372,239,723.5,432.5,1140.5,442.85714285714283,7.846329287743759,726.0180617021476,3,60,41,60,0,1,60,1,51,3,1,3,3,3,3,3,3,3,NA,NA,0,0,0,0,0,0.5,0,0.5,1,0,1
812,1,1,6,6,5,5,6,4,5,1,2,3,34,1,1,3,4,2.3333333333333335,5,3,0.12111673737511972,0,3,1.7810120559234215,984.5,1211,835,836,953.5,723.5,821,302,909.2142857142857,9.03360741213098,774.5988626566076,2,812,41,811,1,0,812,1,5,4,1,5,5,4,4,5,3,4,NA,NA,1,1,1,1,1,0.5,1,0.5,0,1,0
61,1,1,5,5,5,5,6,5,7,3,2,3,40,0,1,5,3,2,5,3,0.3823730669221294,0,5,4.968345328535513,658.5,838,835,836,953.5,1125.5,1450,1140.5,956.6428571428571,6.79383465331091,718.8928227476954,2,61,42,61,0,1,61,1,27,3,1,4,4,4,4,5,4,6,NA,NA,0.5,0,0,0,1,1,1,0.5,1,0.5,0.5
314,1,1,5,6,6,6,5,4,6,1,3,3,37,0,1,2,5,2,4.5,3,0.7086355549473107,0,2,6.0150162036961525,658.5,1211,1255,1278.5,475,723.5,1208.5,302,972.8571428571429,6.531003820084045,769.9388824892541,3,314,42,314,1,0,314,1,6,3,1,4,5,5,5,4,3,5,NA,NA,0.5,1,1,1,0,0,0,0.5,0,0.5,0.5
62,1,0,7,4,4,4,4,4,4,1,6,3,43,0,2,1,4,3,3,1,0.7457232790474886,0,1,7.44444563493229,1356,483.5,411,372,239,723.5,432.5,302,573.9285714285714,15.330497527028543,625.3747414498804,6,62,43,62,1,1,62,0,0,3,0,6,3,3,3,3,3,3,NA,NA,1,1,1,1,1,1,1,0.5,0,0.5,0.5
452,1,0,1,1,1,1,1,1,1,1,6,3,38,0,2,4,5,2,3,3,0.7457232790474886,0,4,12.301802027408613,41,31,22,19.5,25,31,29.5,302,28.428571428571427,8.23292624934372,586.3109512428135,6,452,43,452,0,0,452,0,5,3,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0.5,1,0.5,0.5
63,1,1,6,4,4,5,6,6,6,2,1,1,56,1,3,3,4,2,3,3,0.45750650061584774,0,3,7.387988039223837,984.5,483.5,411,836,953.5,1339,1208.5,843,888,7.979267247744022,633.1515802069082,1,63,44,63,1,1,63,1,12,1,1,5,3,3,4,5,5,5,5,5,1,0,0,0.5,1,1,1,0.5,0,0,1
479,2,1,2,5,6,5,5,4,4,2,2,1,50,1,3,2,2,2.6666666666666665,3,3,0.5344190502258107,0,2,12.019302860984677,155.5,838,1255,836,475,723.5,432.5,843,673.6428571428571,6.279896969693711,638.1714702747248,2,479,44,479,0,0,479,1,49,3,1,1,4,5,4,4,3,3,4,3,0,1,1,0.5,0,0,0,0.5,1,1,0
64,1,0,4,6,6,5,6,4,4,2,2,3,25,1,1,6,1,2.3333333333333335,5,4,0.5344190502258107,0,6,7.1338968533042895,438.5,1211,1255,836,953.5,723.5,432.5,843,835.7142857142857,11.210022863636318,750.2382749677023,2,64,45,64,1,1,64,0,25,4,0,3,5,5,4,5,3,3,NA,NA,0,1,1,0.5,0.5,0.5,0,0,1,1,0
