row_id,id,survey,q1,q29,q7,q60_1,q60_2,q60_3,q60_4,q25new,ideo5,dem_rep_oth,agegood,female,race_new,race_newF,faminc_new,educ,trust_in_science,covid_know,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,covid_subj_know.NA,covid_subj_know_Imp,covid_know.NA,covid_know_Imp,ideo5.NA,ideo5_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q25new_rank,avg_perc_rank,covmh,ps,orig_id,bm,match_id,rankperc,grp,q100,q22,q59_1,q60_1a,q60_2a,q60_3a,q60_4a,bmF,q1_c,q60_1a_c,q60_2a_c,q60_3a_c,q60_4a_c,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q100_rank,q25_new_rank,q1_rank,q22_rank,q59_1_rank,q59_1_rank_inv
1814,1814,7,3,6,4,6,6,5,4,6,6,3,44,0,2,2,4,3,4,0.75,NA,0.25593088308193473,0,4,1,3.3726708074534164,0,0.75,0,6,4.027091205942977,1501,1637.5,1357,775.5,1644,1317.75,4.080542256374029,854.617671974336,1269095371,239,1114,1,0,NA,21,3,5,5,4,3,239,1,2,0,0,-0.5,1,0.5,0.5,0,1,1,1,1,0,1
1343,1343,7,4,4,1,6,6,6,5,2,4,3,77,1,2,2,5,2,4,0.875,NA,0.02464414701508392,0,5,1,3.3726708074534164,0,0.875,0,4,2.899204460877799,1501,1637.5,1651.5,1335,549.5,1531.25,8.081279309544303,899.1370667717662,1268413773,240,646,1,1,NA,6,4,5,5,5,4,240,0,2,2,1,0.5,1,1,1,1,0,0.5,0.5,0,1,0
1510,1510,7,4,6,5,2,2,4,4,2,2,3,72,1,2,2,7,2,4,0.75,NA,0.34501805821117487,0,7,1,3.3726708074534164,0,0.75,0,2,4.054590651852492,342,266,878,775.5,549.5,565.375,7.211157317460936,923.3410484096497,1268052971,240,813,0,0,NA,25,3,1,1,3,3,240,0,-2,-2,-1,-0.5,0,0,0,0,1,0.5,0.5,1,0,1
1345,1345,7,4,5,2,6,2,3,2,3,4,2,63,0,1,1,4,3,1,0.625,NA,0.0961688265703562,0,4,1,3.3726708074534164,0,0.625,0,4,13.61850049532202,1501,266,428,114,994,577.25,6.124348533685301,685.6057082337828,1268451543,241,648,0,1,NA,50,3,5,1,2,1,241,0,2,-1,-1,-1.5,1,0,0,0,0,1,0.5,1,0,1
1701,1701,7,4,3,3,2,4,5,5,2,4,2,72,0,1,1,5,2,1,0.875,NA,0.2001274697259401,0,5,1,3.3726708074534164,0,0.875,0,4,4.893407746467338,342,972.5,1357,1335,549.5,1001.625,9.135954325013769,660.0686214809683,1269052823,241,1003,1,0,NA,2,4,1,3,4,4,241,0,-2,1,1,1.5,0,1,1,1,1,0,0.5,0,1,0
1350,1350,7,5,5,5,6,5,5,5,3,2,1,54,0,1,1,5,5,5,0.75,NA,0.4042206642589051,0,5,1,3.3726708074534164,0,0.75,0,2,1.2857331565611025,1501,1373,1357,1335,994,1391.5,4.064151113200516,1153.172537733983,1269062939,242,653,1,1,NA,3,1,5,4,4,4,242,0,1,0.5,0.5,0.5,1,1,1,1,0,1,0.5,0,0,1
1472,1472,7,5,6,5,4,4,4,4,2,1,1,54,0,1,1,8,5,5,0.875,NA,0.3580482968628284,0,8,1,3.3726708074534164,0,0.875,0,1,0.10579850890925735,905,972.5,878,775.5,549.5,882.75,4.063780782832382,1102.9789573308208,1269232091,242,775,0,0,NA,5,3,3,3,3,3,242,0,-1,-0.5,-0.5,-0.5,0,0,0,0,1,0,0.5,1,1,0
1351,1351,7,4,6,3,5,4,4,4,3,3,3,48,0,1,1,7,4,4,0.875,NA,0.5912470788187806,0,7,1,3.3726708074534164,0,0.875,0,3,0.682712620094789,1200.5,972.5,878,775.5,994,956.625,3.8901895740385504,900.7118581029005,1269043325,243,654,1,1,NA,55,4,4,3,3,3,243,0,1.5,0.5,0,-0.5,1,1,0.5,0,0,1,0.5,1,0.5,0.5
1444,1444,7,4,3,3,2,3,4,5,2,4,3,52,0,1,1,7,3,4,0.875,NA,0.17512924013880035,0,7,1,3.3726708074534164,0,0.875,0,4,3.276136005009578,342,577,878,1335,549.5,783,3.732238070075045,849.86138072616,1269095691,243,747,0,0,NA,25,4,1,2,3,4,243,0,-1.5,-0.5,0,0.5,0,0,0.5,1,1,0,0.5,0,0.5,0.5
1353,1353,7,1,1,4,1,1,1,1,3,3,1,22,1,2,2,1,2,4,0.625,NA,0.22590468097160257,0,1,1,3.3726708074534164,0,0.625,0,3,6.739009004593081,71.5,49,26.5,23,994,42.5,7.208011402984878,773.4047463999748,1269642629,244,656,0,1,NA,0,3,0,0,0,0,244,-1,-3,-2,-1.5,-1.5,0,0,0,0,0,0,0,0,0,1
1813,1813,7,3,4,1,7,5,4,4,7,5,1,29,1,2,2,1,2,4,0.5,NA,0.22809999291834857,0,1,1,3.3726708074534164,0,0.5,0,5,5.129748589884622,1746.5,1373,878,775.5,1769.5,1193.25,7.4915916121212325,658.7571624632775,1269931707,244,1113,1,0,NA,10,4,6,4,3,3,244,1,3,2,1.5,1.5,1,1,1,1,1,1,1,1,1,0
1356,1356,7,3,1,2,1,1,1,1,1,3,3,30,1,1,1,2,2,1,0.5,NA,0.27597195666029317,0,2,1,3.3726708074534164,0,0.5,0,3,6.739009004593081,71.5,49,26.5,23,114.5,42.5,7.666042214542724,543.6447389006423,1269483529,245,659,0,1,NA,2,3,0,0,0,0,245,-0.5,-1,-1.5,-1.5,-2,0,0,0,0,0,0,0,0,0,1
1830,1830,7,4,6,3,3,4,4,5,4,3,3,20,1,1,1,3,3,1,0.5,NA,0.3681042419092132,0,3,1,3.3726708074534164,0,0.5,0,3,1.917710938334188,637,972.5,878,1335,1279,955.625,8.462364319518134,697.556237018729,1269050485,245,1130,1,0,NA,26,4,2,3,3,4,245,0.5,1,1.5,1.5,2,1,1,1,1,1,1,1,1,1,0
1357,1357,7,2,6,5,2,4,4,4,2,3,3,30,1,1,1,7,2,4,0.875,NA,0.05155442249132497,0,7,1,3.3726708074534164,0,0.875,0,3,3.199423292746712,342,972.5,878,775.5,549.5,742,8.992936627230984,860.2184331679993,1269934151,246,660,0,1,NA,24,5,1,3,3,3,246,0.5,-0.5,0.5,0,-0.5,0,1,0.5,0,0,0,1,0,1,0
1609,1609,7,1,1,2,3,3,4,5,4,3,3,21,1,1,1,10,3,4,0.75,NA,0.34501805821117487,0,10,1,3.3726708074534164,0,0.75,0,3,2.0887163753785423,637,577,878,1335,1279,856.75,5.388955579937575,979.3439193288531,1269062243,246,911,1,0,NA,35,4,2,2,3,4,246,-0.5,0.5,-0.5,0,0.5,1,0,0.5,1,1,1,0,1,0,1
1360,1360,7,5,6,5,7,5,4,5,7,2,1,67,1,1,1,8,5,5,0.75,NA,0.30054528716096596,0,8,1,3.3726708074534164,0,0.75,0,2,6.018928491850206,1746.5,1373,878,1335,1769.5,1333.125,4.106087025576782,1146.533415587526,1267950931,247,663,1,1,NA,10,1,6,4,3,4,247,0,1,0,-0.5,0.5,1,0.5,0,1,0,1,0.5,0,0,1
1629,1629,7,5,6,1,5,5,5,4,6,2,1,62,1,1,1,8,6,5,0.75,NA,0.16741024006798386,0,8,1,3.3726708074534164,0,0.75,0,2,1.9241708081998938,1200.5,1373,1357,775.5,1644,1176.5,5.490619183589722,1191.3453064990438,1268460813,247,931,0,0,NA,15,3,4,4,4,3,247,0,-1,0,0.5,-0.5,0,0.5,1,0,1,0,0.5,1,1,0
1362,1362,7,1,6,4,2,4,4,4,2,2,1,45,1,1,1,3,4,4,0.625,NA,0.19672827703420437,0,3,1,3.3726708074534164,0,0.625,0,2,3.199423292746712,342,972.5,878,775.5,549.5,742,6.262403562521703,867.8242266800971,1269080509,248,665,0,1,NA,50,4,1,3,3,3,248,-1.5,-2,0,-0.5,0,0,0.5,0,0.5,0,1,0,1,0.5,0.5
1835,1835,7,4,6,2,6,4,5,4,1,3,1,38,1,1,1,2,5,4,0.875,NA,0.3681042419092132,0,2,1,3.3726708074534164,0,0.875,0,3,4.110410729861298,1501,972.5,1357,775.5,114.5,1151.5,6.1950561321693325,853.0122295185573,1268563099,248,1135,1,0,NA,4,4,5,3,4,3,248,1.5,2,0,0.5,0,1,0.5,1,0.5,1,0,1,0,0.5,0.5
1365,1365,7,1,6,1,4,4,4,4,4,5,2,78,1,1,1,4,3,1,0.5,NA,0,0,4,1,3.3726708074534164,0,0.5,0,5,0.10579850890925735,905,972.5,878,775.5,1279,882.75,9.70166928920964,678.2084519886052,1269212637,249,668,1,1,NA,100,5,3,3,3,3,249,0,1.5,1.5,1,0.5,1,1,1,1,0,1,0.5,1,0.5,0.5
1616,1616,7,1,1,1,1,1,2,3,2,5,2,68,1,1,1,7,3,1,0.5,NA,0.07761489979463211,0,7,1,3.3726708074534164,0,0.5,0,5,3.740058860065598,71.5,49,165.5,302,549.5,147,8.142857308707118,644.4247060351142,1268345233,249,918,0,0,NA,5,5,0,0,1,2,249,0,-1.5,-1.5,-1,-0.5,0,0,0,0,1,0,0.5,0,0.5,0.5
1366,1366,7,5,4,4,4,3,2,2,4,4,1,32,0,1,1,2,4,4,0.75,NA,0.22130160753487715,0,2,1,3.3726708074534164,0,0.75,0,4,5.207655373163943,905,577,165.5,114,1279,440.375,5.149582544764779,800.3456360472085,1269061443,250,669,1,1,NA,34,3,3,2,1,1,250,2,1,0,-0.5,-0.5,1,0.5,0,0,0,0.5,1,1,0,1
1691,1691,7,1,6,1,2,3,3,3,4,2,1,32,0,1,1,5,3,4,0.875,NA,0.13681750584236244,0,5,1,3.3726708074534164,0,0.875,0,2,1.8629370306870419,342,577,428,302,1279,412.25,5.578824807945757,899.9422093059583,1267921681,250,993,0,0,NA,6,5,1,2,2,2,250,-2,-1,0,0.5,0.5,0,0.5,1,1,1,0.5,0,0,1,0
1368,1368,7,4,2,1,2,1,3,4,2,6,3,18,1,3,3,6,2,3,0.875,NA,0.22809999291834857,0,6,1,3.3726708074534164,0,0.875,0,6,5.6115451535581204,342,49,428,775.5,549.5,398.625,10.142051727288633,810.7882833097265,1269080847,251,671,0,1,NA,3,5,1,0,2,3,251,-0.5,-1,-1.5,-1.5,0,0,0,0,0.5,0,0,0,0,1,0
1942,1942,7,5,6,3,4,4,6,4,7,6,3,20,1,3,3,NA,1,3,0.75,NA,0.4679555272289498,1,6.038292529817955,1,3.3726708074534164,0,0.75,0,6,8.728035804584614,905,972.5,1651.5,775.5,1769.5,1076.125,14.653961615093321,782.1365396843223,1269321329,251,1241,1,0,NA,96,3,3,3,5,3,251,0.5,1,1.5,1.5,0,1,1,1,0.5,1,1,1,1,0,1
1370,1370,7,3,1,1,2,2,3,3,1,3,3,48,0,1,1,NA,6,1,0.75,NA,0.02464414701508392,1,6.038292529817955,1,3.3726708074534164,0,0.75,0,3,1.9262499311868273,342,266,428,302,114.5,334.5,16.935593661089957,802.6457349396243,1269179257,252,673,0,1,NA,6,5,1,1,2,2,252,1,0,0,-0.5,-0.5,0.5,0.5,0,0,0,0,1,0,0.5,0.5
1852,1852,7,1,1,1,2,2,4,4,2,3,3,45,0,1,1,NA,5,1,0.75,NA,0.17010126761560798,1,6.038292529817955,1,3.3726708074534164,0,0.75,0,3,4.054590651852492,342,266,878,775.5,549.5,565.375,13.154150325444263,710.9777626451771,1270021931,252,1152,1,0,NA,50,5,1,1,3,3,252,-1,0,0,0.5,0.5,0.5,0.5,1,1,1,1,0,1,0.5,0.5
1372,1372,7,5,6,5,6,6,6,6,2,3,1,63,1,1,1,4,3,5,0.875,NA,0.14885631329225976,0,4,1,3.3726708074534164,0,0.875,0,3,2.5285346829451294,1501,1637.5,1651.5,1658.5,549.5,1612.125,5.277629757713206,1096.1856847740116,1268452333,253,675,1,1,NA,0,2,5,5,5,5,253,0,1.5,1.5,1,1,1,1,1,1,0,0.5,0.5,0,0,1
1407,1407,7,5,5,5,3,3,4,4,2,3,1,60,1,1,1,6,2,5,0.75,NA,0.193470717371291,0,6,1,3.3726708074534164,0,0.75,0,3,0.8642442545032688,637,577,878,775.5,549.5,716.875,5.437285550158129,1058.7803636678082,1267172801,253,710,0,0,NA,2,3,2,2,3,3,253,0,-1.5,-1.5,-1,-1,0,0,0,0,1,0.5,0.5,1,1,0
