row_id,sample,outcome.x,q60_1,q60_2,q60_3,q60_4,q60_5,q60_6,q60_7,q25_new,caseid_BROW0017,caseid_BROW0016,caseid_BROW0015,caseid_BROW0014,caseid_BROW0013,caseid,ideo5,dem_rep_oth,age,female,race_new,faminc_new,educ,trust_in_govt,trust_in_science,covid_subj_know,relig_scale,faminc_new.NA,faminc_new_Imp,percdist,q60_1_rank,q60_2_rank,q60_3_rank,q60_4_rank,q60_5_rank,q60_6_rank,q60_7_rank,q25_new_rank,avg_perc_rank,covmh,ps,orig_id,id.x,bm,match_id,rankperc,grp,id.y,outcome.y,q22,q59_1,outcome,q60_1a,q60_2a,q60_3a,q60_4a,q60_5a,q60_6a,q60_7a,q60_ingroup,q60_outgroup,q60_1a_rank,q60_2a_rank,q60_3a_rank,q60_4a_rank,q60_5a_rank,q60_6a_rank,q60_7a_rank,outcome_rank,q22_rank,q59_1_rank,q59_1_rank_inv
800,1,1,2,2,2,2,3,4,4,4,1400935473,NA,NA,NA,NA,NA,1,1,34,1,1,1,4,2,5,5,0.9199397837689887,0,1,9.728857858503408,155.5,120.5,77.5,65,107,723.5,432.5,1263,240.21428571428572,12.131794177024783,743.0163198685427,1,800,267,799,0,0,800,1,8,1,1,1,1,1,1,2,3,3,2,3,0,0,0,0,0,1,0,0.5,0,0,1
446,2,1,6,6,5,5,5,5,5,1,1397367089,NA,NA,NA,NA,NA,4,1,78,1,1,7,2,2.6666666666666665,4,4,0.04091966607362801,0,7,2.3475755496646316,984.5,1211,835,836,475,1125.5,821,302,898.2857142857143,7.013894308381316,958.1700425552231,4,446,268,446,1,1,446,1,7,1,1,5,5,4,4,4,4,4,4,4,1,1,0.5,0.5,0.5,1,1,0.5,0,0,1
904,2,1,4,5,5,5,5,4,4,2,1401489781,1308369411,NA,NA,NA,NA,3,1,71,1,1,4,3,3.3333333333333335,4,4,0.4279458053920897,0,4,1.8892858726757447,438.5,838,835,836,475,723.5,432.5,843,654.0714285714286,5.55405289779502,941.1290696608957,3,904,268,903,0,0,904,1,36,4,1,3,4,4,4,4,3,3,4,3,0,0,0.5,0.5,0.5,0,0,0.5,1,1,0
448,1,1,6,4,4,4,5,4,4,1,1397381021,NA,NA,NA,NA,NA,1,1,30,1,1,13,5,2,5,4,0.7086355549473107,0,13,3.253973334320392,984.5,483.5,411,372,475,723.5,432.5,302,554.5714285714286,8.353555736413213,856.9918799431598,1,448,269,448,0,1,448,1,10,4,1,5,3,3,3,4,3,3,4,3,1,0.5,0.5,0,0,0.5,0.5,0.5,1,1,0
592,2,1,5,4,4,5,6,4,4,2,1398124421,NA,1270710033,NA,1179799377,NA,1,1,31,1,1,10,5,2,4.5,5,0.9199397837689887,0,10,2.9197114385219587,658.5,483.5,411,836,953.5,723.5,432.5,843,642.6428571428571,8.874469816033782,782.6458030165546,1,592,269,591,1,0,592,1,4,1,1,4,3,3,4,5,3,3,5,3,0,0.5,0.5,1,1,0.5,0.5,0.5,0,0,1
449,2,1,7,6,6,6,6,4,6,2,1396750977,1299610091,1264504787,1240980415,1179657909,NA,2,1,55,1,1,2,2,3,4,4,0.42821951553305043,0,2,2.660591127376872,1356,1211,1255,1278.5,953.5,723.5,1208.5,843,1140.857142857143,5.808012006943019,788.4204831699255,2,449,270,449,1,1,449,1,50,2,1,6,5,5,5,5,3,5,5,3,1,1,1,1,0.5,1,0.5,1,1,0,1
766,1,0,5,4,5,5,6,2,6,5,1400527993,NA,NA,NA,NA,NA,1,1,61,1,1,3,1,2,4.5,4,0.8302997126043519,0,3,9.739686053599522,658.5,483.5,835,836,953.5,138,1208.5,1349.5,730.4285714285714,10.035560602619665,811.857031700149,1,766,270,765,0,0,766,0,6,3,0,4,3,4,4,5,1,5,5,1,0,0,0,0,0.5,0,0.5,0,0,1,0
450,1,0,2,3,4,5,6,4,4,2,1397370183,NA,NA,NA,NA,NA,4,2,48,0,1,3,2,1.6666666666666667,2.5,4,0.9199397837689887,0,3,5.629911673254776,155.5,238.5,411,836,953.5,723.5,432.5,843,535.7857142857143,8.20298253129282,552.0775523934327,4,450,271,450,1,1,450,0,0,4,0,1,2,3,4,5,3,3,3,5,0.5,0.5,1,1,1,1,1,0,0,0.5,0.5
1465,1,1,2,3,2,2,2,2,3,1,1408357051,NA,NA,NA,NA,NA,3,2,51,0,1,4,3,1.6666666666666667,3,3,0.2653619816614205,0,4,9.559478334209322,155.5,238.5,77.5,65,65.5,138,184,302,132,3.450176855782797,553.8406159218932,3,1465,271,1462,0,0,1465,1,79,4,1,1,2,1,1,1,1,2,1,1,0.5,0.5,0,0,0,0,0,1,1,0.5,0.5
451,1,1,6,4,4,5,6,2,5,1,1397381097,NA,NA,NA,NA,NA,3,3,40,1,1,11,5,2.6666666666666665,5,5,0.9199397837689887,0,11,7.1656267447690905,984.5,483.5,411,836,953.5,138,821,302,661.0714285714286,8.48076642135199,880.3399011219176,3,451,272,451,0,1,451,1,3,4,1,5,3,3,4,5,1,4,NA,NA,0.5,0,0,0.5,1,0,0.5,0.5,1,0.5,0.5
