"","fam.q60_1a","neigh.q60_2a","city.q60_3a","state.q60_4a","demdem.q60_5a","demrep.q60_5a","repdem.q60_6a","reprep.q60_6a"
"unadjusted",0.157195729600881,0.140246053681178,0.142057584429908,0.120016526447757,0.13101268143461,-0.01044275786738,-0.0118070337370724,0.123990029224687
"adjusted",0.0955752212389381,0.052819414703783,0.0384300899427637,0.0216165413533835,0.0252100840336134,-0.00447427293064877,-0.0118110236220472,0.0946372239747634
