"","fam.q60_1a","neigh.q60_2a","city.q60_3a","state.q60_4a"
"unadjusted",0.418414518781693,0.329046836711972,0.274915102805146,0.195714040290116
"adjusted",0.385753749013417,0.337247405789186,0.29837875129355,0.271317829457364
